Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.8431E-07,-2.8309E-06,0.075,0,0,0,1.0797,0.0036422,6.9366E-08,-2.9718E-09,0.0036423,1.993E-08,0.0072588,0,0,0,0,0,0,package://spiderbot/meshes/base_link.STL,1,0,0,1,0,0,0,0,0,0,package://spiderbot/meshes/base_link.STL,,Base-1,cf_gazebo,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_link0,-1.4232E-08,-0.03892,0.039146,0,0,0,0.071655,0.00019551,-3.7597E-12,-1.2218E-11,0.00011898,8.9125E-05,8.1036E-05,0,0,0,0,0,0,package://spiderbot/meshes/front_right_link0.STL,0,0,1,1,0,0,0,0,0,0,package://spiderbot/meshes/front_right_link0.STL,,Link0-2,cf_front_right_link0,axis_front_right_link0,joint_front_right_link0,revolute,0.1,-0.1,0.075,0,0,0.7854,base_link,0,0,1,2,0.2,-0.5236,0.5236,,,,,,,,
front_right_link1,-0.054513,-0.069963,-1.093E-08,0,0,0,0.069773,0.00026729,-0.00017233,3.0936E-11,0.0001253,3.4186E-11,0.00039089,0,0,0,0,0,0,package://spiderbot/meshes/front_right_link1.STL,0,1,0,1,0,0,0,0,0,0,package://spiderbot/meshes/front_right_link1.STL,,Link1-2,cf_front_right_link1,axis_front_right_link1,joint_front_right_link1,revolute,0,-0.1,0.099999999999999,1.5707963267949,0,1.57079632679489,front_right_link0,0,0,1,2,0.2,-0.523599,0.523599,,,,,,,,
front_left_link0,-1.4232E-08,-0.03892,0.039146,0,0,0,0.071655,0.00019551,-3.7597E-12,-1.2218E-11,0.00011898,8.9125E-05,8.1036E-05,0,0,0,0,0,0,package://spiderbot/meshes/front_left_link0.STL,0,0,1,1,0,0,0,0,0,0,package://spiderbot/meshes/front_left_link0.STL,,Link0-3,cf_front_left_link0,axis_front_left_link0,joint_front_left_link0,revolute,0.1,0.1,0.075,0,0,2.35619449019234,base_link,0,0,1,2,0.2,-0.523599,0.523599,,,,,,,,
front_left_link1,-0.054513,-0.069963,-1.093E-08,0,0,0,0.069773,0.00026729,-0.00017233,3.0936E-11,0.0001253,3.4186E-11,0.00039089,0,0,0,0,0,0,package://spiderbot/meshes/front_left_link1.STL,0,1,0,1,0,0,0,0,0,0,package://spiderbot/meshes/front_left_link1.STL,,Link1-3,cf_front_left_link1,axis_front_left_link1,joint_front_left_link1,revolute,0,-0.1,0.0999999999999989,1.5707963267949,0,1.5707963267949,front_left_link0,0,0,1,2,0.2,-0.523599,0.523599,,,,,,,,
rear_left_link0,-1.4232E-08,-0.03892,0.039146,0,0,0,0.071655,0.00019551,-3.7597E-12,-1.2218E-11,0.00011898,8.9125E-05,8.1036E-05,0,0,0,0,0,0,package://spiderbot/meshes/rear_left_link0.STL,0,0,1,1,0,0,0,0,0,0,package://spiderbot/meshes/rear_left_link0.STL,,Link0-4,cf_rear_left_link0,axis_rear_left_link0,joint_rear_left_link0,revolute,-0.1,0.0999999999999999,0.075,0,0,-2.35619449019234,base_link,0,0,1,2,0.2,-0.523599,0.523599,,,,,,,,
rear_left_link1,-0.054513,-0.069963,-1.093E-08,0,0,0,0.069773,0.00026729,-0.00017233,3.0936E-11,0.0001253,3.4186E-11,0.00039089,0,0,0,0,0,0,package://spiderbot/meshes/rear_left_link1.STL,0,1,0,1,0,0,0,0,0,0,package://spiderbot/meshes/rear_left_link1.STL,,Link1-4,cf_rear_left_link1,axis_rear_left_link1,joint_rear_left_link1,revolute,0,-0.1,0.0999999999999991,1.5707963267949,0,1.5707963267949,rear_left_link0,0,0,1,2,0.2,-0.523599,0.523599,,,,,,,,
rear_right_link0,-1.4232E-08,-0.03892,0.039146,0,0,0,0.071655,0.00019551,-3.7597E-12,-1.2218E-11,0.00011898,8.9125E-05,8.1036E-05,0,0,0,0,0,0,package://spiderbot/meshes/rear_right_link0.STL,0,0,1,1,0,0,0,0,0,0,package://spiderbot/meshes/rear_right_link0.STL,,Link0-1,cf_rear_right_link0,axis_rear_right_link0,joint_rear_right_link0,revolute,-0.1,-0.1,0.075,0,0,-0.7854,base_link,0,0,1,2,0.2,-0.5236,0.5236,,,,,,,,
rear_right_link1,-0.054513,-0.069963,-1.093E-08,0,0,0,0.069773,0.00026729,-0.00017233,3.0936E-11,0.0001253,3.4186E-11,0.00039089,0,0,0,0,0,0,package://spiderbot/meshes/rear_right_link1.STL,0,1,0,1,0,0,0,0,0,0,package://spiderbot/meshes/rear_right_link1.STL,,Link1-1,cf_rear_right_link1,axis_rear_right_link1,joint_rear_right_link1,revolute,0,-0.1,0.1,1.5708,0,1.5708,rear_right_link0,0,0,1,2,0.2,-0.5236,0.5236,,,,,,,,
